date,Media Source 1,Media Source 2,Media Source 3,Media Source 4,Media Source 5,Media Source 6,Media Source 7
Mar 1,0,0,0,0,0,0,0
Mar 2,0.004081633,0,0,0,0,0,0
Mar 3,0,0,0,0,0,0,0
Mar 4,0,0,0,0,0,0,0
Mar 5,0,0,0,0,0,0,0
Mar 6,0,0,0,0,0,0,0
Mar 7,0.002040816,0,0.008547009,0,0,0,0
Mar 8,0.012244898,0,0,0.01,0.025641026,0.000134686,0.000474032
Mar 9,0.016326531,0,0.017094017,0.01,0.025641026,0.001602758,0.005443722
Mar 10,0.006122449,0,0.008547009,0.01,0.025641026,0.003057363,0.005356343
Mar 11,0.016326531,0,0.008547009,0,0,0.000902393,0.0045743
Mar 12,0.02244898,0,0.05982906,0.01,0.025641026,0.002397403,0.006350281
Mar 13,0.032653061,0,0.068376068,0.01,0.025641026,0.005347017,0.028090219
Mar 14,0.024489796,0,0,0.03,0.025641026,0.00653225,0.254253727
Mar 15,0.030612245,0,0.076923077,0.03,0.025641026,0.010465069,0.190803342
Mar 16,0.044897959,0,0.102564103,0.02,0.025641026,0.005198863,0.067908907
Mar 17,0.124489796,0,0.076923077,0.08,0.076923077,0.092959985,0.066222489
Mar 18,0.057142857,0,0.376068376,0.09,0.076923077,0.04472908,0.139476817
Mar 19,0.167346939,0,0.752136752,0.17,0.153846154,0.09328323,0.20983671
Mar 20,0.485714286,0,0.760683761,0.33,0.333333333,0.123345051,0.495841844
Mar 21,0.520408163,0,0.760683761,0.42,0.333333333,0.172909343,0.50019988
Mar 22,0.673469388,0.311926606,0.88034188,0.68,0.384615385,0.447277331,1
Mar 23,1,0.247706422,0.333333333,0.96,0.435897436,0.441270354,0.449019715
Mar 24,0.708163265,0.816513761,0.341880342,1,0.435897436,1,0.461825132
Mar 25,0.6,0.201834862,0.709401709,0.77,0.333333333,0.560911552,0.351948009
Mar 26,0.904081633,0,0.871794872,0.84,0.384615385,0.439452099,0.215560046
Mar 27,0.869387755,0.733944954,0.957264957,0.96,0.461538462,0.264845718,null
Mar 28,0.971428571,0,0.777777778,0.67,0.358974359,0.153029752,null
Mar 29,0.942857143,0.137614679,0.735042735,0.54,0.538461538,0.183199321,null
Mar 30,0.648979592,0,0.358974359,0.4,0.307692308,0.109216534,null
Mar 31,0.418367347,0,0.41025641,0.33,0.205128205,0.08768031,null
Apr 1,0.389795918,0,0.777777778,0.27,0.179487179,0.053052649,null
Apr 2,0.520408163,0,0.547008547,0.27,0.179487179,0.054601533,null
Apr 3,0.346938776,0.018348624,0.35042735,0.22,0.128205128,0.042399019,null
Apr 4,0.318367347,0,0.384615385,0.16,0.102564103,0.02922677,null
Apr 5,0.293877551,0,0.367521368,0.16,0.102564103,0.031300928,null
Apr 6,0.281632653,0,0.247863248,0.12,0.076923077,0.025293951,null
Apr 7,0.234693878,0,0.282051282,0.11,0.076923077,0.021643972,null
Apr 8,0.195918367,0,0.820512821,0.1,0.051282051,0.013401215,null
Apr 9,0.512244898,0,0.854700855,0.15,0.102564103,0.035893706,null
Apr 10,0.467346939,0.073394495,0.794871795,0.17,0.58974359,0.046358775,null
Apr 11,0.728571429,0,0.786324786,0.29,1,0.231618786,null
Apr 12,0.681632653,1,0.837606838,0.31,0.820512821,0.061430091,null
Apr 13,0.408163265,0.733944954,0.162393162,0.14,0.307692308,0.017132005,null
Apr 14,0.22244898,0,0.247863248,0.09,0.179487179,0.010451601,null
Apr 15,0.159183673,0,0.418803419,0.08,0.102564103,0.006209005,null
Apr 16,0.234693878,0,0.324786325,0.08,0.102564103,0.009454927,null
Apr 17,0.214285714,0,0.376068376,0.07,0.076923077,0.005872291,null
Apr 18,0.163265306,0,0.487179487,0.06,0.076923077,0.006788153,null
Apr 19,0.128571429,0,1,0.06,0.051282051,0.008633345,null
Apr 20,0.308163265,0,0.461538462,0.1,0.333333333,0.030331192,null
Apr 21,0.163265306,0.28440367,0.384615385,0.07,0.179487179,0.007138336,null
Apr 22,0.087755102,0,0.982905983,0.05,0.102564103,0.003852007,null
Apr 23,0.287755102,0,0.658119658,0.07,0.230769231,0.011987016,null
Apr 24,0.275510204,0,0.230769231,0.05,0.102564103,0.006559188,null
Apr 25,0.181632653,0,0.205128205,0.04,0.076923077,0.003434482,null
Apr 26,0.173469388,0,0.692307692,0.04,0.051282051,0.006195537,null
Apr 27,0.144897959,0,0.145299145,0.04,0.102564103,0.007582798,null
Apr 28,0.059183673,0,0.11965812,0.03,0.051282051,0.003488356,null
Apr 29,0.067346939,0,0.222222222,0.03,0.051282051,0.002464746,null
Apr 30,0.083673469,0,0,0.03,0.051282051,0.00299002,null
